,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.08555807296196692,0.05844466906233029,0.05345521074155528,0.053377550775236135,0.053161220505026585,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966839978476782,0.7929702737652506,0.0604851282390228,0.04210238016486311,0.0376247762558863,0.03758841093180026,0.0374479695505317,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.834916579637446,0.8313931208750229,0.044010808492458614,0.029374958935109215,0.02667455558418216,0.02667455558418216,0.026636986319109518,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.422734538030712,1.413057483248668,0.09795400467783022,0.06634586618312292,0.05976777302066516,0.05956909663519894,0.05944554744573347,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438601541618647,0.02130944961532647,0.0014544974932574123,0.0010262643226352135,0.0006385768116131266,0.0006365908385004477,0.0006276484678469818,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.993916278669817,10.975351227637582,1.1465315282078374,0.8625344944444744,0.3884217448683225,0.3875818602959618,0.38586939113966995,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47778093467595,18.44445480245551,1.8967068266505647,1.4180201773591472,0.6549597267987587,0.6536960286534444,0.6514186475198496,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02138682863811925,0.021273317169623898,0.000759261066223085,0.0004972389971528847,0.00030454396307648835,0.0003022581367681786,0.0003022581367681786,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.93227980894857,9.91773923265224,1.0578244842339426,0.7940783295460282,0.3497034430363109,0.3489512361620201,0.3477156820226027,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05595921964896841,0.05560877654128435,0.004252699079622528,0.003061240458332078,0.0019117428562470534,0.0019117428562470534,0.0018964694521805428,,,
QCD,900603.372757249,1219440.0804636534,1208182.4786762223,1200009.3644063028,48.22883726419096,12.57486236168873,12.57486236168873,12.57486236168873,12.57486236168873,,,
TT,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,21.945394772326104,4.253876238590889,4.15928352407971,3.783767972452853,3.436504014126813,,,
ST,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,1.5840331288304617,0.0,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,4.718286701323229,0.23596718019577415,0.23596718019577415,0.23596718019577415,0.23596718019577415,,,
Z+Jets,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,2.8052859894067534,1.4537177316702956,1.4537177316702956,1.4537177316702956,1.4537177316702956,,,
Diboson,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,0.008937011031285346,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,0.010849175861960554,0.010849175861960554,0.010849175861960554,0.010849175861960554,0.010849175861960554,,,
ggZHbb,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,0.05844527628682349,0.026370262416710727,0.026370262416710727,0.02322288727093562,0.01927554069600807,,,
HWW,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,0.8716148306324385,0.23672713221582642,0.22022760734893992,0.20591864326324927,0.19659414260126756,,,
Data,1331012.0,1331012.0,,,,49.0,47.0,47.0,47.0,1331012.0,1331012.0,266.0
