,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,0.03494437140597181,0.017478799613364578,0.017451340098369652,0.017398679462532547,,
QCD,1126208.5372077704,1204990.9790546382,1204968.588130011,1204955.485744056,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
