,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,3.0844304478232147,1.821646454860015,1.8190548221698628,1.8137409903275123
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,43.35339962596538,10.309973991746496,10.309973991746496,10.309973991746496
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,10.380889190950322,0.685890552319221,0.5994401446653269,0.5994401446653269
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.7516282221734621,-0.33341810781610337,-0.33341810781610337,-0.33341810781610337
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,1.6852854021927706,0.13899482396989846,0.13899482396989846,0.13899482396989846
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,0.9796843392977779,0.2906724424399755,0.2906724424399755,0.2906724424399755
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.038885730659693356,0.038885730659693356,0.038885730659693356,0.038885730659693356
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.005890153566565097,0.0,0.0,0.0
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.007219947747591032,0.0037136254611929193,0.0037136254611929193,0.0037136254611929193
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.001176732188734517,0.0009115175183998008,0.0009115175183998008,0.0009115175183998008
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.02014877552481194,0.0053726487462899125,0.0053726487462899125,0.0053726487462899125
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.3248698966171193,0.04522037003126739,0.040642550371254735,0.03878196817452579
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,144.0,13.0,13.0,13.0
